"CO2","p","T","H2O","Points:0","Points:1","Points:2"
1,1.0031e+07,350.22,0,0,-0.029985,0.00043499
1,1.0031e+07,350.22,0,0,-0.029985,0.00065447
1,1.0031e+07,350.21,0,0,-0.029985,0.00087528
1,1.0031e+07,350.21,0,0,-0.029985,0.0010974
1,1.0031e+07,350.21,0,0,-0.029985,0.0013209
1,1.0031e+07,350.21,0,0,-0.029985,0.0015458
1,1.0031e+07,350.2,0,0,-0.029985,0.001772
1,1.0031e+07,350.2,0,0,-0.029985,0.0019996
1,1.0031e+07,350.2,0,0,-0.029985,0.0022286
1,1.0031e+07,350.2,0,0,-0.029985,0.002459
1,1.0031e+07,350.2,0,0,-0.029985,0.0026907
1,1.0031e+07,350.2,0,0,-0.029985,0.0029239
1,1.0031e+07,350.2,0,0,-0.029985,0.0031585
1,1.0031e+07,350.2,0,0,-0.029985,0.0033945
1,1.0031e+07,350.2,0,0,-0.029985,0.003632
1,1.0031e+07,350.2,0,0,-0.029985,0.0038709
1,1.0031e+07,350.2,0,0,-0.029985,0.0041112
1,1.0031e+07,350.21,0,0,-0.029985,0.004353
1,1.0031e+07,350.21,0,0,-0.029985,0.0045963
1,1.0031e+07,350.21,0,0,-0.029985,0.004841
1,1.0031e+07,350.21,0,0,-0.029985,0.0050873
1,1.0031e+07,350.21,0,0,-0.029985,0.005335
1,1.0031e+07,350.21,0,0,-0.029985,0.0055842
1,1.0031e+07,350.22,0,0,-0.029985,0.005835
1,1.0031e+07,350.22,0,0,-0.029985,0.0060872
1,1.0031e+07,350.22,0,0,-0.029985,0.006341
1,1.0031e+07,350.22,0,0,-0.029985,0.0065964
1,1.0031e+07,350.22,0,0,-0.029985,0.0068533
1,1.0031e+07,350.22,0,0,-0.029985,0.0071117
1,1.0031e+07,350.22,0,0,-0.029985,0.0073717
1,1.0031e+07,350.22,0,0,-0.029985,0.0076333
1,1.0031e+07,350.22,0,0,-0.029985,0.0078965
1,1.0031e+07,350.22,0,0,-0.029985,0.0081613
1,1.0031e+07,350.22,0,0,-0.029985,0.0084277
1,1.0031e+07,350.22,0,0,-0.029985,0.0086957
1,1.0031e+07,350.22,0,0,-0.029985,0.0089654
1,1.0031e+07,350.22,0,0,-0.029985,0.0092366
1,1.0031e+07,350.22,0,0,-0.029985,0.0095096
1,1.0031e+07,350.22,0,0,-0.029985,0.0097841
1,1.0031e+07,350.22,0,0,-0.029985,0.01006
1,1.0031e+07,350.22,0,0,-0.029985,0.010338
1,1.0031e+07,350.22,0,0,-0.029985,0.010618
1,1.0031e+07,350.22,0,0,-0.029985,0.010899
1,1.0031e+07,350.22,0,0,-0.029985,0.011182
1,1.0031e+07,350.22,0,0,-0.029985,0.011467
1,1.0031e+07,350.22,0,0,-0.029985,0.011753
1,1.0031e+07,350.22,0,0,-0.029985,0.012042
1,1.0031e+07,350.22,0,0,-0.029985,0.012332
1,1.0031e+07,350.22,0,0,-0.029985,0.012623
1,1.0031e+07,350.22,0,0,-0.029985,0.012917
1,1.0031e+07,350.22,0,0,-0.029985,0.013212
1,1.0031e+07,350.22,0,0,-0.029985,0.013509
1,1.0031e+07,350.22,0,0,-0.029985,0.013808
1,1.0031e+07,350.22,0,0,-0.029985,0.014109
1,1.0031e+07,350.22,0,0,-0.029985,0.014411
1,1.0031e+07,350.23,0,0,-0.029985,0.014716
1,1.0031e+07,350.23,0,0,-0.029985,0.015022
1,1.0031e+07,350.23,0,0,-0.029985,0.01533
1,1.0031e+07,350.23,0,0,-0.029985,0.01564
1,1.0031e+07,350.23,0,0,-0.029985,0.015952
1,1.0031e+07,350.23,0,0,-0.029985,0.016265
1,1.0031e+07,350.24,0,0,-0.029985,0.016581
1,1.0031e+07,350.24,0,0,-0.029985,0.016898
1,1.0031e+07,350.24,0,0,-0.029985,0.017218
1,1.0031e+07,350.24,0,0,-0.029985,0.017539
1,1.0031e+07,350.24,0,0,-0.029985,0.017863
1,1.0031e+07,350.24,0,0,-0.029985,0.018188
1,1.0031e+07,350.24,0,0,-0.029985,0.018515
1,1.0031e+07,350.25,0,0,-0.029985,0.018844
1,1.0031e+07,350.25,0,0,-0.029985,0.019176
1,1.0031e+07,350.25,0,0,-0.029985,0.019509
1,1.0031e+07,350.25,0,0,-0.029985,0.019844
1,1.0031e+07,350.25,0,0,-0.029985,0.020182
1,1.0031e+07,350.25,0,0,-0.029985,0.020521
1,1.0031e+07,350.25,0,0,-0.029985,0.020862
1,1.0031e+07,350.25,0,0,-0.029985,0.021206
1,1.0031e+07,350.25,0,0,-0.029985,0.021551
1,1.0031e+07,350.25,0,0,-0.029985,0.021899
1,1.0031e+07,350.25,0,0,-0.029985,0.022249
1,1.0031e+07,350.25,0,0,-0.029985,0.022601
1,1.0031e+07,350.25,0,0,-0.029985,0.022955
1,1.0031e+07,350.25,0,0,-0.029985,0.023311
1,1.0031e+07,350.25,0,0,-0.029985,0.02367
1,1.0031e+07,350.25,0,0,-0.029985,0.02403
1,1.0031e+07,350.24,0,0,-0.029985,0.024393
1,1.0031e+07,350.24,0,0,-0.029985,0.024758
1,1.0031e+07,350.24,0,0,-0.029985,0.025125
1,1.0031e+07,350.24,0,0,-0.029985,0.025494
1,1.0031e+07,350.24,0,0,-0.029985,0.025866
1,1.0031e+07,350.24,0,0,-0.029985,0.02624
1,1.0031e+07,350.24,0,0,-0.029985,0.026616
1,1.0031e+07,350.24,0,0,-0.029985,0.026995
1,1.0031e+07,350.24,0,0,-0.029985,0.027375
1,1.0031e+07,350.24,0,0,-0.029985,0.027758
1,1.0031e+07,350.24,0,0,-0.029985,0.028144
1,1.0031e+07,350.24,0,0,-0.029985,0.028531
1,1.0031e+07,350.24,0,0,-0.029985,0.028922
1,1.0031e+07,350.24,0,0,-0.029985,0.029314
1,1.0031e+07,350.24,0,0,-0.029985,0.029709
1,1.0031e+07,350.24,0,0,-0.029985,0.030106
1,1.0031e+07,350.23,0,0,-0.029985,0.030506
1,1.0031e+07,350.23,0,0,-0.029985,0.030908
1,1.0031e+07,350.23,0,0,-0.029985,0.031312
1,1.0031e+07,350.23,0,0,-0.029985,0.031719
1,1.0031e+07,350.23,0,0,-0.029985,0.032129
1,1.0031e+07,350.23,0,0,-0.029985,0.032541
1,1.0031e+07,350.23,0,0,-0.029985,0.032955
1,1.0031e+07,350.23,0,0,-0.029985,0.033372
1,1.0031e+07,350.23,0,0,-0.029985,0.033792
1,1.0031e+07,350.23,0,0,-0.029985,0.034214
1,1.0031e+07,350.23,0,0,-0.029985,0.034638
1,1.0031e+07,350.23,0,0,-0.029985,0.035065
1,1.0031e+07,350.23,0,0,-0.029985,0.035495
1,1.0031e+07,350.23,0,0,-0.029985,0.035927
1,1.0031e+07,350.23,0,0,-0.029985,0.036362
1,1.0031e+07,350.23,0,0,-0.029985,0.0368
1,1.0031e+07,350.23,0,0,-0.029985,0.03724
1,1.0031e+07,350.23,0,0,-0.029985,0.037683
1,1.0031e+07,350.23,0,0,-0.029985,0.038129
1,1.0031e+07,350.23,0,0,-0.029985,0.038577
1,1.0032e+07,350.23,0,0,-0.029985,0.039028
1,1.0032e+07,350.23,0,0,-0.029985,0.039482
1,1.0032e+07,350.23,0,0,-0.029985,0.039939
1,1.0032e+07,350.23,0,0,-0.029985,0.040398
1,1.0032e+07,350.23,0,0,-0.029985,0.04086
1,1.0032e+07,350.23,0,0,-0.029985,0.041325
1,1.0032e+07,350.23,0,0,-0.029985,0.041793
1,1.0032e+07,350.23,0,0,-0.029985,0.042264
1,1.0032e+07,350.23,0,0,-0.029985,0.042737
1,1.0032e+07,350.23,0,0,-0.029985,0.043213
1,1.0031e+07,350.23,0,0,-0.029985,0.043693
1,1.0031e+07,350.23,0,0,-0.029985,0.044175
1,1.003e+07,350.22,0,0,-0.029985,0.04466
